id,question,answer,source_block_ids,entities,intents,scenario,quality_confidence,wiki_version
qa_001,住房公积金是什么？,根据《住房公积金管理条例》，住房公积金是指本条例规定的住房储金制度，包括本条例的发布及修订历史、立法目的和总则首条（kb_001），本条例的适用范围及住房公积金的定义（kb_002），住房公积金归属权属及管理原则（kb_003），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），以及住房公积金管理委员会的管理职责清单（kb_006）。,kb_001|kb_002|kb_003|kb_004|kb_006,ent_住房公积金,定义,住房公积金,0.9,1
qa_002,住房公积金的核心规定是什么？,住房公积金的核心理念是：本条例的发布及修订历史、立法目的和总则首条（kb_001），本条例的适用范围及住房公积金的定义（kb_002），住房公积金归属权属及管理原则（kb_003），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），以及住房公积金管理委员会的管理职责清单（kb_006）。,kb_001|kb_002|kb_003|kb_004|kb_006,ent_住房公积金,查询标准,住房公积金,0.9,1
qa_003,住房公积金适用于什么范围？,住房公积金的适用范围包括：本条例的发布及修订历史、立法目的和总则首条（kb_001），本条例的适用范围及住房公积金的定义（kb_002），住房公积金归属权属及管理原则（kb_003），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），以及住房公积金管理委员会的管理职责清单（kb_006）。,kb_001|kb_002|kb_003|kb_004|kb_006,ent_住房公积金,查询范围,住房公积金,0.9,1
qa_004,住房公积金管理中心是什么？,住房公积金管理中心是住房公积金管理体系中的重要机构，涉及住房公积金归属权属及管理原则（kb_003），住房公积金管理中心的设立原则、机构性质和层级设置（kb_007），住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。,kb_003|kb_007|kb_008|kb_009|kb_010,ent_住房公积金管理中心,定义,住房公积金管理中心,0.9,1
qa_005,住房公积金管理中心负责什么？,住房公积金管理中心负责以下工作：住房公积金归属权属及管理原则（kb_003），住房公积金管理中心的设立原则、机构性质和层级设置（kb_007），住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。,kb_003|kb_007|kb_008|kb_009|kb_010,ent_住房公积金管理中心,查询职责,住房公积金管理中心,0.9,1
qa_006,怎么联系住房公积金管理中心？,住房公积金管理中心的相关联系方式涉及以下业务范围：住房公积金归属权属及管理原则（kb_003），住房公积金管理中心的设立原则、机构性质和层级设置（kb_007），住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。具体联系方式可向当地住房公积金管理中心咨询。,kb_003|kb_007|kb_008|kb_009|kb_010,ent_住房公积金管理中心,查询联系方式,住房公积金管理中心,0.9,1
qa_007,职工是什么？,职工是住房公积金制度中的核心主体之一，涉及本条例的适用范围及住房公积金的定义（kb_002），住房公积金归属权属及管理原则（kb_003），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），以及住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008）。,kb_002|kb_003|kb_004|kb_005|kb_008,ent_职工,定义,职工,0.9,1
qa_008,职工需要满足什么条件？,与职工相关的主要条件包括：本条例的适用范围及住房公积金的定义（kb_002），住房公积金归属权属及管理原则（kb_003），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），以及住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008）。,kb_002|kb_003|kb_004|kb_005|kb_008,ent_职工,查询条件,职工,0.9,1
qa_009,单位是什么？,单位是住房公积金制度中的缴存主体，涉及本条例的适用范围及住房公积金的定义（kb_002），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。,kb_002|kb_004|kb_005|kb_009|kb_010,ent_单位,定义,单位,0.9,1
qa_010,单位负责什么？,单位在住房公积金制度中负有以下职责：本条例的适用范围及住房公积金的定义（kb_002），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。,kb_002|kb_004|kb_005|kb_009|kb_010,ent_单位,查询职责,单位,0.9,1
qa_011,怎么联系单位？,单位在住房公积金业务中的联系方式涉及以下内容：本条例的适用范围及住房公积金的定义（kb_002），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。具体联系方式可向单位所在地住房公积金管理中心咨询。,kb_002|kb_004|kb_005|kb_009|kb_010,ent_单位,查询联系方式,单位,0.9,1
qa_012,住房公积金管理委员会是什么？,住房公积金管理委员会是住房公积金的管理决策机构，涉及住房公积金归属权属及管理原则（kb_003），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），住房公积金管理委员会的管理职责清单（kb_006），住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），以及住房公积金缴存比例的最低标准及审批程序（kb_012）。,kb_003|kb_005|kb_006|kb_008|kb_012,ent_住房公积金管理委员会,定义,住房公积金管理委员会,0.9,1
qa_013,住房公积金管理委员会负责什么？,住房公积金管理委员会负责以下工作：住房公积金归属权属及管理原则（kb_003），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），住房公积金管理委员会的管理职责清单（kb_006），住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），以及住房公积金缴存比例的最低标准及审批程序（kb_012）。,kb_003|kb_005|kb_006|kb_008|kb_012,ent_住房公积金管理委员会,查询职责,住房公积金管理委员会,0.9,1
qa_014,怎么联系住房公积金管理委员会？,住房公积金管理委员会的联系方式涉及以下业务范围：住房公积金归属权属及管理原则（kb_003），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），住房公积金管理委员会的管理职责清单（kb_006），住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），以及住房公积金缴存比例的最低标准及审批程序（kb_012）。具体联系方式可向当地住房公积金管理中心咨询。,kb_003|kb_005|kb_006|kb_008|kb_012,ent_住房公积金管理委员会,查询联系方式,住房公积金管理委员会,0.9,1
qa_015,受委托银行是什么？,受委托银行是住房公积金管理中由住房公积金管理中心指定、负责办理住房公积金金融业务的银行机构，涉及住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），住房公积金代扣代缴机制及困难单位的缓缴或降低比例程序（kb_013），住房公积金提取的办理流程及时限要求（kb_016），以及住房公积金贷款申请条件、审批时限及风险承担规则（kb_017）。,kb_008|kb_009|kb_013|kb_016|kb_017,ent_受委托银行,定义,受委托银行,0.9,1
qa_016,受委托银行负责什么？,受委托银行负责以下工作：住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），住房公积金代扣代缴机制及困难单位的缓缴或降低比例程序（kb_013），住房公积金提取的办理流程及时限要求（kb_016），以及住房公积金贷款申请条件、审批时限及风险承担规则（kb_017）。,kb_008|kb_009|kb_013|kb_016|kb_017,ent_受委托银行,查询职责,受委托银行,0.9,1
qa_017,怎么联系受委托银行？,受委托银行的具体联系方式涉及以下业务：住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），住房公积金代扣代缴机制及困难单位的缓缴或降低比例程序（kb_013），住房公积金提取的办理流程及时限要求（kb_016），以及住房公积金贷款申请条件、审批时限及风险承担规则（kb_017）。具体联系方式可向当地住房公积金管理中心查询。,kb_008|kb_009|kb_013|kb_016|kb_017,ent_受委托银行,查询联系方式,受委托银行,0.9,1
qa_018,国务院建设行政主管部门是什么？,国务院建设行政主管部门是全国住房公积金监督管理的行政主管部门，涉及住房公积金用途限制、利率决定机制及监督管理体制（kb_004），单位不办理缴存登记、逾期少缴的处罚以及管委会违规审批的改正责任（kb_023），住房公积金管理中心七类违规行为及其行政处分（kb_024），以及挪用住房公积金行为的追缴、没收违法所得及刑事、行政责任（kb_025）。,kb_004|kb_023|kb_024|kb_025,ent_国务院建设行政主管部门,定义,国务院建设行政主管部门,0.9,1
qa_019,国务院建设行政主管部门负责什么？,国务院建设行政主管部门负责以下工作：住房公积金用途限制、利率决定机制及监督管理体制（kb_004），单位不办理缴存登记、逾期少缴的处罚以及管委会违规审批的改正责任（kb_023），住房公积金管理中心七类违规行为及其行政处分（kb_024），以及挪用住房公积金行为的追缴、没收违法所得及刑事、行政责任（kb_025）。,kb_004|kb_023|kb_024|kb_025,ent_国务院建设行政主管部门,查询职责,国务院建设行政主管部门,0.9,1
qa_020,怎么联系国务院建设行政主管部门？,国务院建设行政主管部门的联系方式涉及以下监管职责：住房公积金用途限制、利率决定机制及监督管理体制（kb_004），单位不办理缴存登记、逾期少缴的处罚以及管委会违规审批的改正责任（kb_023），住房公积金管理中心七类违规行为及其行政处分（kb_024），以及挪用住房公积金行为的追缴、没收违法所得及刑事、行政责任（kb_025）。具体联系方式可向当地住房公积金管理中心咨询。,kb_004|kb_023|kb_024|kb_025,ent_国务院建设行政主管部门,查询联系方式,国务院建设行政主管部门,0.9,1
qa_021,天水市住房公积金管理中心是什么？,天水市住房公积金管理中心是负责天水市住房公积金管理服务的机构，自2025年3月1日起全市各服务大厅实行周六不打烊、工作日延时、预约上门等三项便民服务措施，全市各公积金服务大厅每周六上午8:30-12:00、下午2:30-6:00正常对外办公，法定节假日除外（kb_028）；天水市设有8个公积金服务大厅，覆盖市直、秦州、麦积、秦安、甘谷、武山、清水、张家川（kb_029）；经管委会审议通过，对提取和贷款政策进行了调整（kb_030）。,kb_028|kb_029|kb_030,ent_天水市住房公积金管理中心,定义,天水市住房公积金管理中心,0.9,1
qa_022,天水市住房公积金管理中心负责什么？,天水市住房公积金管理中心负责以下工作：自2025年3月1日起全市各服务大厅实行周六不打烊、工作日延时、预约上门等三项便民服务措施，全市各公积金服务大厅每周六上午8:30-12:00、下午2:30-6:00正常对外办公，法定节假日除外（kb_028）；天水市8个公积金服务大厅预约联系电话覆盖市直、秦州、麦积、秦安、甘谷、武山、清水、张家川（kb_029）；经管委会审议通过，对提取和贷款政策进行调整（kb_030）。,kb_028|kb_029|kb_030,ent_天水市住房公积金管理中心,查询职责,天水市住房公积金管理中心,0.9,1
qa_023,怎么联系天水市住房公积金管理中心？,天水市住房公积金管理中心设有8个公积金服务大厅，覆盖市直、秦州、麦积、秦安、甘谷、武山、清水、张家川，各服务大厅提供预约联系电话（kb_029）。自2025年3月1日起，各服务大厅每周六上午8:30-12:00、下午2:30-6:00正常对外办公（法定节假日除外），并提供工作日延时服务和预约上门服务（kb_028）。,kb_028|kb_029,ent_天水市住房公积金管理中心,查询联系方式,天水市住房公积金管理中心,0.9,1
